데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec,26-Jan,26-Feb,26-Mar,26-Apr,26-May,26-Jun,26-Jul
카드_할인율_아이템_SS과시즌_YOY,-0.4%p,+0.9%p,+8.7%p,+3.1%p,-8.9%p,-4.2%p,+2.0%p,-19.3%p,-13.9%p,-8.3%p,+6.1%p,+38.8%p,+12.6%p,+11.1%p,+9.6%p,-4.6%p,+2.9%p,+8.6%p,
카드_할인율_아이템_CORE_값,15.50%,7.20%,7.90%,11.60%,5.50%,15.50%,11.80%,28.60%,22.70%,12.20%,47.50%,45.10%,32.90%,-18.10%,-4.50%,-4.70%,-1.40%,-6.80%,-6.40%
카드_할인율_아이템_CORE_YOY,-20.8%p,-23.5%p,-15.3%p,-14.5%p,-24.7%p,-21.6%p,-26.2%p,-9.0%p,-7.3%p,-11.9%p,+18.5%p,+22.2%p,+17.4%p,-25.3%p,-12.5%p,-10.5%p,-3.9%p,-11.1%p,-13.7%p
카드_할인율_아이템_26FW_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.70%
카드_할인율_아이템_26FW_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+1.8%p
카드_할인율_아이템_과시즌_값,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75.80%
카드_할인율_아이템_과시즌_YOY,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+13.6%p
카드_당시즌판매율_값,0.50%,1.60%,4.70%,8.90%,15.90%,24.70%,0.20%,0.80%,2.30%,4.60%,17.10%,34.00%,39.70%,1.10%,3.10%,6.10%,12.20%,19.20%,39.30%
카드_당시즌판매율_전년비교,2.00%,6.20%,14.10%,26.70%,41.40%,58.40%,1.30%,4.10%,9.00%,16.50%,30.40%,51.00%,61.30%,1.80%,3.90%,7.10%,11.70%,17.80%,34.20%
카드_당시즌판매율_YOY,-1.40%,-4.70%,-9.40%,-17.90%,-25.50%,-33.70%,-1.10%,-3.20%,-6.70%,-11.80%,-13.30%,-17.00%,-21.60%,-0.70%,-0.80%,-1.00%,0.50%,1.40%,5.10%
